sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
2.30934,2.11928,0.316234,0.0038143,0.0214582
2.16822,2.16298,0.24744,0.0039765,0.0237712
2.0985,2.02694,0.270263,0.00393564,0.0247143
2.45758,2.05114,0.843426,0.00410872,0.0268845
2.56603,2.05591,1.59563,0.0042709,0.0318014
2.54814,1.99331,0.607629,0.00440572,0.0330989
2.39632,2.13569,0.68471,0.00442776,0.0292387
2.16561,2.05101,0.551939,0.0041517,0.0271161
1.9656,2.13769,0.319494,0.00369801,0.0216316
2.09296,1.98939,0.306549,0.00373911,0.0191445
2.12868,2.17518,0.264398,0.00373669,0.017629
2.24776,2.10296,0.724369,0.00371164,0.0209351
2.30615,2.17374,0.575022,0.00374249,0.0217697
2.04017,2.11751,0.328476,0.0036608,0.0162852
1.84422,2.05751,0.274873,0.0033669,0.0158306
2.02679,2.15309,0.259771,0.00340996,0.0251012
2.05411,2.09496,0.347977,0.0036053,0.0215628
2.14403,2.11113,0.897779,0.00372914,0.0197343
2.0664,2.10931,0.429562,0.00375798,0.0190091
2.11855,2.0918,0.707081,0.00383717,0.0184335
2.18013,2.13324,0.521743,0.00393408,0.0197812
2.07691,2.18997,0.276039,0.00394824,0.0203433
2.139,2.17526,0.462121,0.00394322,0.0191193
2.13931,2.23908,0.288834,0.00408422,0.0187083
2.19688,2.30408,0.736091,0.00409193,0.01811
2.37754,2.04432,0.418657,0.00420116,0.0253276
2.46249,2.14036,0.453839,0.00442231,0.0304649
2.59163,2.02408,0.519231,0.00455227,0.0303441
2.36716,2.00304,0.574518,0.00456073,0.0302278
2.43714,2.04864,0.473762,0.00443867,0.026494
2.55425,2.05713,0.54251,0.00453704,0.027146
2.68161,2.17878,0.69765,0.00461476,0.0312652
2.8289,2.13219,1.16307,0.00464421,0.0274141
2.94779,2.02392,1.32817,0.0048063,0.0323281
2.99307,2.20818,0.768838,0.00529429,0.0358437
2.8331,2.11331,1.4981,0.00523727,0.0309167
2.93811,2.05963,0.447749,0.00528006,0.0299309
2.97988,2.11269,0.8596,0.00537884,0.0342028
72.924,1.95097,0.462754,0.00545533,0.0325524
2.70689,2.04303,0.442798,0.00537967,0.0320994
2.57698,2.27787,0.388921,0.00491132,0.0295993
2.45854,2.14751,1.12218,0.00421009,0.0285235
2.48197,2.09433,0.360494,0.0043621,0.0287133
2.40499,2.22028,0.436798,0.00434943,0.027606
2.32354,2.1457,0.926246,0.00426718,0.0270412
2.37932,2.21019,0.304852,0.00367231,0.0245982
2.33366,2.12176,0.271027,0.003757,0.0247157
2.40588,2.09918,0.623018,0.00390419,0.0243554
2.49834,2.17227,0.249738,0.00399814,0.0262824
2.34143,2.14553,0.601042,0.00395193,0.0232204
2.39199,2.14036,0.411919,0.00394439,0.0224885
2.33086,2.1735,0.229889,0.00401964,0.0216984
1.57677,2.10425,0.162569,0.00335873,0.0186095
1.82907,2.15223,0.0126413,0.00310664,0.025684
2.05086,2.07703,0.0384908,0.00333741,0.0212088
1.98585,2.0807,0.138537,0.00339751,0.0208814
2.00571,2.10717,0.117545,0.00337901,0.0219903
2.03201,2.15483,0.17677,0.00342406,0.0212884
2.02934,2.17684,0.181008,0.00346765,0.0218382
2.03921,2.0593,0.314989,0.00345972,0.0225633
2.05825,2.14333,0.191561,0.00346158,0.0215606
1.72954,2.20575,0.221293,0.00344992,0.0207755
1.59282,2.11633,0.0365216,0.00283341,0.0171381
1.71897,2.08161,0.00283992,0.00295701,0.0183745
1.68458,2.14567,0.000220832,0.00299058,0.0195572
1.74692,2.1423,1.71719E-05,0.00300805,0.0227479
1.77099,2.12803,1.33529E-06,0.00306255,0.0189511
1.88975,2.10925,1.03832E-07,0.00324099,0.0195919
1.87899,2.09982,0.0220469,0.00324822,0.0188809
1.8334,2.1362,0.0253181,0.00327038,0.0195795
0.0145826,2.07593,0.0627554,0.00175147,0.0108041
0,1.78765,0.00487986,0.000948546,0.00942833
0,1.7448,0.000379458,0.000901821,0.00936675
0,1.74381,2.95067E-05,0.000904416,0.00951987
sphere 0.6 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0.705124,1.7622,0,0.000833157,0.00840674
0.231348,1.78787,0,0.000826749,0.00816702
0.100614,1.7762,0,0.000833929,0.00823466
0.154996,1.84617,0,0.00084921,0.00833927
0.373608,1.86108,0,0.000839263,0.00894995
0.0734862,1.79248,0,0.000829676,0.00803945
0.0146463,1.83743,0,0.00084867,0.00856847
0,1.86051,0,0.000852615,0.0076706
0.0502432,1.79987,0,0.000850269,0.00841498
0.0568022,1.79293,0,0.000831108,0.00805685
0,1.83183,0,0.00086075,0.00854511
0,1.85757,0,0.000844775,0.00824492
0,1.82901,0,0.000849865,0.00952256
0,1.86462,0,0.000855859,0.00825021
0,1.83646,0,0.000852385,0.00813964
0,1.84295,0,0.000841891,0.00856282
0,1.71553,0,0.000840156,0.00908049
0,1.76902,0,0.00182169,0.00883047
0,1.98213,0,0.00189194,0.00958406
0,1.86999,0,0.00184341,0.00858658
