,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
332,9.989990234,117,117,539,52,1,544,622.4305286,239.0004094,645.4056183,358.6029179
333,10.02001953,117,117,536,52,1,546,622.3490004,238.9394122,645.3560623,358.643316
334,10.04992676,117,117,545,53,2,546,622.3490004,238.9394122,645.3560623,358.643316
335,10.07995605,117,117,538,52,1,548,622.3490004,238.9394122,645.3560623,358.643316
336,10.11999512,0,0,543,52,1,547,622.3490004,238.9394122,645.3560623,358.643316
337,10.14001465,182,182,533,52,0,544,622.3490004,238.9394122,645.3560623,358.643316
338,10.16992188,182,182,542,52,1,546,622.3490004,238.9394122,645.3560623,358.643316
339,10.19995117,182,182,534,51,0,547,622.4702963,239.0701014,644.8614639,358.6435145
340,10.23999023,182,182,535,52,1,542,622.4702963,239.0701014,644.8614639,358.6435145
341,10.27001953,182,182,541,51,1,543,622.4702963,239.0701014,644.8614639,358.6435145
342,10.29992676,182,182,528,52,2,538,622.4702963,239.0701014,644.8614639,358.6435145
343,10.32995605,182,182,529,51,3,537,622.4702963,239.0701014,644.8614639,358.6435145
344,10.35998535,182,182,527,52,10,534,622.4702963,239.0701014,644.8614639,358.6435145
345,10.39001465,182,182,525,52,3,532,622.4702963,239.0701014,644.8614639,358.6435145
346,10.41992188,182,182,524,52,1,531,622.4702963,239.0701014,644.8614639,358.6435145
347,10.45996094,182,182,523,52,1,528,622.4702963,239.0701014,644.8614639,358.6435145
348,10.48999023,182,182,520,52,0,526,622.4702963,239.0701014,644.8614639,358.6435145
349,10.52001953,182,182,519,51,2,528,622.4702963,239.0701014,644.8614639,358.6435145
350,10.54992676,182,182,527,51,0,525,622.4702963,239.0701014,644.8614639,358.6435145
351,10.57995605,182,182,515,51,1,524,622.4702963,239.0701014,644.8614639,358.6435145
352,10.60998535,182,182,513,52,0,521,622.4702963,239.0701014,644.8614639,358.6435145
353,10.64001465,182,182,520,52,1,521,622.4702963,239.0701014,644.8614639,358.6435145
354,10.66992188,182,182,510,51,1,521,622.4702963,239.0701014,644.8614639,358.6435145
355,10.69995117,182,182,510,52,1,518,622.4702963,239.0701014,644.8614639,358.6435145
356,10.73999023,182,182,511,52,1,517,622.4702963,239.0701014,644.8614639,358.6435145
357,10.77001953,182,182,513,52,1,516,622.4702963,239.0701014,644.8614639,358.6435145
358,10.79992676,182,182,509,52,1,520,622.4702963,239.0701014,644.8614639,358.6435145
359,10.82995605,182,182,508,52,1,520,622.4702963,239.0701014,644.8614639,358.6435145
360,10.85998535,182,182,517,52,0,517,622.4702963,239.0701014,644.8614639,358.6435145
361,10.89001465,182,182,504,52,2,512,622.4702963,239.0701014,644.8614639,358.6435145
362,10.91992188,182,182,506,52,2,515,622.4702963,239.0701014,644.8614639,358.6435145
363,10.94995117,182,182,508,52,1,517,622.4702963,239.0701014,644.8614639,358.6435145
364,10.98999023,182,182,509,52,2,516,622.4702963,239.0701014,644.8614639,358.6435145
365,11.02001953,182,182,507,52,0,519,622.4702963,239.0701014,644.8614639,358.6435145
366,11.04992676,182,182,509,51,2,515,622.4823573,238.9832535,655.2696063,358.3453091
367,11.07995605,182,182,517,52,0,516,622.4823573,238.9832535,655.2696063,358.3453091
368,11.10998535,182,182,509,51,1,516,622.4823573,238.9832535,655.2696063,358.3453091
369,11.14001465,101,101,509,51,0,515,622.5528594,239.0611362,654.6954462,358.3946192
370,11.16992188,101,101,512,52,2,514,622.5528594,239.0611362,654.6954462,358.3946192
371,11.19995117,101,101,511,52,1,518,622.5528594,239.0611362,654.6954462,358.3946192
372,11.23999023,101,101,509,51,0,520,622.5528594,239.0611362,654.6954462,358.3946192
373,11.27001953,101,101,521,52,1,523,622.5528594,239.0611362,654.6954462,358.3946192
374,11.29992676,101,101,516,51,0,528,622.5528594,239.0611362,654.6954462,358.3946192
375,11.32995605,101,101,513,51,1,526,622.5528594,239.0611362,654.6954462,358.3946192
376,11.35998535,101,101,515,51,1,530,622.5528594,239.0611362,654.6954462,358.3946192
377,11.39001465,101,101,525,52,0,534,622.5528594,239.0611362,654.6954462,358.3946192
378,11.41992188,101,101,523,51,0,536,622.5528594,239.0611362,654.6954462,358.3946192
379,11.44995117,101,101,525,52,1,537,622.5528594,239.0611362,654.6954462,358.3946192
380,11.48999023,101,101,535,51,0,539,622.5528594,239.0611362,654.6954462,358.3946192
381,11.52001953,101,101,530,52,1,540,622.5528594,239.0611362,654.6954462,358.3946192
382,11.54992676,101,101,527,52,1,542,622.5528594,239.0611362,654.6954462,358.3946192
383,11.57995605,101,101,538,52,1,542,622.5528594,239.0611362,654.6954462,358.3946192
384,11.60998535,101,101,534,53,1,542,622.5528594,239.0611362,654.6954462,358.3946192
385,11.64001465,101,101,531,51,2,544,622.5528594,239.0611362,654.6954462,358.3946192
386,11.66992188,101,101,534,52,0,547,622.4925716,239.0422716,645.1776881,358.660251
387,11.69995117,101,101,544,52,1,547,622.4925716,239.0422716,645.1776881,358.660251
388,11.73999023,101,101,539,52,0,549,622.4925716,239.0422716,645.1776881,358.660251
389,11.77001953,101,101,537,52,1,550,622.4925716,239.0422716,645.1776881,358.660251
390,11.79992676,101,101,545,52,0,550,622.4925716,239.0422716,645.1776881,358.660251
391,11.82995605,101,101,538,52,1,549,622.4925716,239.0422716,645.1776881,358.660251
392,11.85998535,101,101,535,52,1,550,622.4925716,239.0422716,645.1776881,358.660251
393,11.89001465,101,101,538,52,2,551,622.4925716,239.0422716,645.1776881,358.660251
394,11.91992188,101,101,545,52,0,552,622.4925716,239.0422716,645.1776881,358.660251
395,11.94995117,101,101,542,52,1,550,622.4925716,239.0422716,645.1776881,358.660251
396,11.97998047,101,101,540,52,0,551,622.4925716,239.0422716,645.1776881,358.660251
397,12.02001953,101,101,549,52,1,553,622.4925716,239.0422716,645.1776881,358.660251
398,12.04992676,101,101,541,52,0,552,622.4925716,239.0422716,645.1776881,358.660251
399,12.07995605,101,101,539,52,1,553,622.437286,238.9879216,642.6593667,358.5161462
400,12.10998535,101,101,549,52,1,551,622.3557427,238.9269675,642.9904405,358.5565189
401,12.14001465,57,57,541,52,1,552,622.3557427,238.9269675,642.9904405,358.5565189
402,12.16992188,57,57,543,52,2,552,622.3557427,238.9269675,642.9904405,358.5565189
403,12.19995117,57,57,541,53,1,551,622.3557427,238.9269675,642.9904405,358.5565189
404,12.22998047,57,57,546,52,0,552,622.3557427,238.9269675,642.9904405,358.5565189
405,12.26000977,57,57,543,52,1,552,622.3557427,238.9269675,642.9904405,358.5565189
406,12.2800293,57,57,541,52,3,553,622.3557427,238.9269675,642.9904405,358.5565189
407,12.30993652,57,57,551,51,1,556,622.3557427,238.9269675,642.9904405,358.5565189
408,12.33996582,57,57,551,52,2,559,622.3557427,238.9269675,642.9904405,358.5565189
409,12.36999512,57,57,550,52,0,560,622.3557427,238.9269675,642.9904405,358.5565189
410,12.40002441,57,57,549,52,2,562,622.3557427,238.9269675,642.9904405,358.5565189
411,12.42993164,57,57,560,53,2,565,622.3557427,238.9269675,642.9904405,358.5565189
412,12.45996094,57,57,556,51,1,566,622.3557427,238.9269675,642.9904405,358.5565189
413,12.48999023,57,57,556,51,2,567,622.3557427,238.9269675,642.9904405,358.5565189
414,12.52001953,57,57,554,52,0,567,622.3557427,238.9269675,642.9904405,358.5565189
415,12.54992676,57,57,561,52,1,569,622.3557427,238.9269675,642.9904405,358.5565189
416,12.57995605,57,57,556,52,1,568,622.3557427,238.9269675,642.9904405,358.5565189
417,12.60998535,57,57,552,51,1,568,622.3557427,238.9269675,642.9904405,358.5565189
418,12.64001465,57,57,563,52,1,569,622.3557427,238.9269675,642.9904405,358.5565189
419,12.65991211,57,57,561,51,1,570,622.3557427,238.9269675,642.9904405,358.5565189
420,12.68994141,57,57,558,52,0,573,622.3557427,238.9269675,642.9904405,358.5565189
421,12.7199707,57,57,555,52,0,574,622.3557427,238.9269675,642.9904405,358.5565189
422,12.75,57,57,567,52,0,574,622.3557427,238.9269675,642.9904405,358.5565189
423,12.7800293,57,57,564,52,0,575,622.3557427,238.9269675,642.9904405,358.5565189
424,12.80993652,57,57,563,53,1,573,622.3557427,238.9269675,642.9904405,358.5565189
425,12.83996582,57,57,559,52,1,573,622.3557427,238.9269675,642.9904405,358.5565189
426,12.86999512,57,57,568,52,0,574,622.437286,238.9879216,636.4617906,357.8341641
427,12.90002441,57,57,567,51,0,573,622.437286,238.9879216,636.4617906,357.8341641
428,12.92993164,57,57,560,53,1,573,622.437286,238.9879216,636.4617906,357.8341641
429,12.95996094,57,57,571,51,2,574,622.437286,238.9879216,636.4617906,357.8341641
430,12.98999023,57,57,569,52,1,575,622.437286,238.9879216,636.4617906,357.8341641
