,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
168,5.08996582,81,81,544,53,1,552,622.4417256,239.0640666,640.5077856,358.3353666
169,5.119995117,81,81,546,52,0,555,622.4417256,239.0640666,640.5077856,358.3353666
170,5.150024414,81,81,544,52,0,556,622.4417256,239.0640666,640.5077856,358.3353666
171,5.179931641,81,81,552,53,1,555,622.4417256,239.0640666,640.5077856,358.3353666
172,5.209960938,81,81,547,51,1,558,622.4417256,239.0640666,640.5077856,358.3353666
173,5.239990234,81,81,546,52,1,558,622.4417256,239.0640666,640.5077856,358.3353666
174,5.270019531,81,81,556,53,0,560,622.4417256,239.0640666,640.5077856,358.3353666
175,5.289916992,81,81,551,52,0,562,622.4417256,239.0640666,640.5077856,358.3353666
176,5.319946289,81,81,553,52,0,562,622.4417256,239.0640666,640.5077856,358.3353666
177,5.349975586,81,81,550,51,1,563,622.4417256,239.0640666,640.5077856,358.3353666
178,5.380004883,81,81,560,52,1,560,622.4417256,239.0640666,640.5077856,358.3353666
179,5.409912109,81,81,555,52,0,565,622.4417256,239.0640666,640.5077856,358.3353666
180,5.439941406,81,81,552,52,0,564,622.4417256,239.0640666,640.5077856,358.3353666
181,5.469970703,81,81,555,51,0,563,622.4417256,239.0640666,640.5077856,358.3353666
182,5.5,81,81,560,51,1,563,622.4417256,239.0640666,640.5077856,358.3353666
183,5.530029297,81,81,555,51,2,563,622.4417256,239.0640666,640.5077856,358.3353666
184,5.559936523,81,81,553,52,1,566,622.4417256,239.0640666,640.5077856,358.3353666
185,5.579956055,81,81,562,52,0,565,622.4417256,239.0640666,640.5077856,358.3353666
186,5.609985352,81,81,557,52,1,565,622.4417256,239.0640666,640.5077856,358.3353666
187,5.640014648,81,81,556,52,0,565,622.4417256,239.0640666,640.5077856,358.3353666
188,5.669921875,81,81,553,51,2,567,622.4417256,239.0640666,640.5077856,358.3353666
189,5.699951172,81,81,565,52,1,565,622.4417256,239.0640666,640.5077856,358.3353666
190,5.729980469,81,81,558,51,1,567,622.4417256,239.0640666,640.5077856,358.3353666
191,5.760009766,81,81,554,52,1,566,622.4417256,239.0640666,640.5077856,358.3353666
192,5.789916992,81,81,557,52,1,567,622.4417256,239.0640666,640.5077856,358.3353666
193,5.819946289,81,81,562,52,1,564,622.4417256,239.0640666,640.5077856,358.3353666
194,5.849975586,81,81,559,51,2,566,622.4417256,239.0640666,640.5077856,358.3353666
195,5.880004883,81,81,553,52,1,566,622.4417256,239.0640666,640.5077856,358.3353666
196,5.909912109,81,81,563,52,0,568,622.4417256,239.0640666,640.5077856,358.3353666
197,5.929931641,81,81,560,52,0,567,622.4417256,239.0640666,640.5077856,358.3353666
198,5.959960938,81,81,559,53,1,568,622.4417256,239.0640666,640.5077856,358.3353666
199,5.989990234,81,81,554,51,1,567,622.4417256,239.0640666,640.5077856,358.3353666
200,6.020019531,81,81,564,52,1,568,622.4417256,239.0640666,640.5077856,358.3353666
201,6.049926758,81,81,558,52,0,566,622.4417256,239.0640666,640.5077856,358.3353666
202,6.079956055,81,81,555,53,1,568,622.4417256,239.0640666,640.5077856,358.3353666
203,6.109985352,157,157,564,51,2,566,622.4417256,239.0640666,640.5077856,358.3353666
204,6.140014648,157,157,562,52,1,569,622.4417256,239.0640666,640.5077856,358.3353666
205,6.169921875,157,157,554,52,1,567,622.4417256,239.0640666,640.5077856,358.3353666
206,6.199951172,157,157,555,52,1,566,622.4417256,239.0640666,640.5077856,358.3353666
207,6.239990234,157,157,564,52,1,562,622.4417256,239.0640666,640.5077856,358.3353666
208,6.270019531,157,157,554,52,1,558,622.4417256,239.0640666,640.5077856,358.3353666
209,6.299926758,157,157,548,52,1,556,622.4417256,239.0640666,640.5077856,358.3353666
210,6.329956055,157,157,545,52,1,549,622.4417256,239.0640666,640.5077856,358.3353666
211,6.359985352,157,157,548,52,0,549,622.4417256,239.0640666,640.5077856,358.3353666
212,6.390014648,157,157,539,52,1,546,622.4417256,239.0640666,640.5077856,358.3353666
213,6.419921875,157,157,538,52,0,543,622.4417256,239.0640666,640.5077856,358.3353666
214,6.449951172,157,157,544,52,1,538,622.4417256,239.0640666,640.5077856,358.3353666
215,6.479980469,157,157,529,52,1,538,622.4417256,239.0640666,640.5077856,358.3353666
216,6.520019531,157,157,529,53,1,536,622.4417256,239.0640666,640.5077856,358.3353666
217,6.549926758,157,157,527,52,1,533,622.4417256,239.0640666,640.5077856,358.3353666
218,6.579956055,157,157,527,52,7,534,622.4417256,239.0640666,640.5077856,358.3353666
219,6.609985352,157,157,522,52,0,534,622.4417256,239.0640666,640.5077856,358.3353666
220,6.640014648,157,157,523,52,1,530,622.4417256,239.0640666,640.5077856,358.3353666
221,6.669921875,157,157,528,52,1,528,622.4417256,239.0640666,640.5077856,358.3353666
222,6.699951172,157,157,518,51,0,528,622.4417256,239.0640666,640.5077856,358.3353666
223,6.729980469,157,157,519,52,1,532,622.4417256,239.0640666,640.5077856,358.3353666
224,6.770019531,157,157,529,53,2,528,622.4417256,239.0640666,640.5077856,358.3353666
225,6.799926758,157,157,519,52,1,529,622.4417256,239.0640666,640.5077856,358.3353666
226,6.829956055,157,157,518,53,2,525,622.4417256,239.0640666,640.5077856,358.3353666
227,6.859985352,157,157,517,51,0,525,622.4417256,239.0640666,640.5077856,358.3353666
228,6.890014648,157,157,522,52,0,527,622.4417256,239.0640666,640.5077856,358.3353666
229,6.919921875,157,157,517,51,1,525,622.4417256,239.0640666,640.5077856,358.3353666
230,6.949951172,157,157,519,51,0,524,622.4417256,239.0640666,640.5077856,358.3353666
231,6.979980469,157,157,525,52,2,523,622.4417256,239.0640666,640.5077856,358.3353666
232,7.010009766,157,157,515,52,1,523,622.4417256,239.0640666,640.5077856,358.3353666
233,7.049926758,157,157,514,51,1,525,622.4417256,239.0640666,640.5077856,358.3353666
234,7.079956055,157,157,514,52,1,526,622.4417256,239.0640666,640.5077856,358.3353666
235,7.109985352,61,61,514,51,2,525,622.4417256,239.0640666,640.5077856,358.3353666
236,7.140014648,61,61,517,52,1,525,622.4417256,239.0640666,640.5077856,358.3353666
237,7.169921875,61,61,525,52,1,526,622.4417256,239.0640666,640.5077856,358.3353666
238,7.189941406,61,61,519,52,4,529,622.4417256,239.0640666,640.5077856,358.3353666
239,7.219970703,61,61,522,53,2,530,622.4417256,239.0640666,640.5077856,358.3353666
240,7.25,61,61,520,51,1,533,622.4417256,239.0640666,640.5077856,358.3353666
241,7.280029297,61,61,532,51,2,537,622.4417256,239.0640666,640.5077856,358.3353666
242,7.309936523,61,61,527,51,1,539,622.2417236,239.1299197,647.5041319,358.5738761
243,7.33996582,61,61,531,53,0,543,622.2417236,239.1299197,647.5041319,358.5738761
244,7.369995117,61,61,531,52,1,548,622.2417236,239.1299197,647.5041319,358.5738761
245,7.400024414,61,61,544,52,2,550,622.2417236,239.1299197,647.5041319,358.5738761
246,7.429931641,61,61,540,52,0,550,622.2417236,239.1299197,647.5041319,358.5738761
247,7.459960938,61,61,545,51,1,556,622.2417236,239.1299197,647.5041319,358.5738761
248,7.489990234,61,61,553,52,1,556,622.2417236,239.1299197,647.5041319,358.5738761
249,7.520019531,61,61,553,52,0,560,622.2417236,239.1299197,647.5041319,358.5738761
250,7.539916992,61,61,549,53,0,560,622.2417236,239.1299197,647.5041319,358.5738761
251,7.569946289,61,61,545,51,0,561,622.2417236,239.1299197,647.5041319,358.5738761
252,7.599975586,61,61,558,52,0,562,622.2417236,239.1299197,647.5041319,358.5738761
253,7.630004883,61,61,554,52,0,562,622.2417236,239.1299197,647.5041319,358.5738761
254,7.659912109,61,61,553,52,1,564,622.2417236,239.1299197,647.5041319,358.5738761
255,7.689941406,61,61,550,52,0,565,622.2417236,239.1299197,647.5041319,358.5738761
256,7.719970703,61,61,562,52,1,568,622.2417236,239.1299197,647.5041319,358.5738761
257,7.75,61,61,559,51,2,568,622.2417236,239.1299197,647.5041319,358.5738761
258,7.780029297,61,61,553,51,1,569,622.2417236,239.1299197,647.5041319,358.5738761
259,7.809936523,61,61,564,52,1,570,622.2417236,239.1299197,647.5041319,358.5738761
260,7.83996582,61,61,565,52,0,569,622.2417236,239.1299197,647.5041319,358.5738761
261,7.869995117,61,61,561,52,0,569,622.2417236,239.1299197,647.5041319,358.5738761
262,7.900024414,61,61,556,52,0,568,622.2417236,239.1299197,647.5041319,358.5738761
263,7.919921875,61,61,565,52,0,570,622.2417236,239.1299197,647.5041319,358.5738761
264,7.949951172,61,61,563,52,1,570,622.2417236,239.1299197,647.5041319,358.5738761
265,7.979980469,61,61,562,52,1,569,622.2417236,239.1299197,647.5041319,358.5738761
266,8.010009766,61,61,556,52,1,572,622.2417236,239.1299197,647.5041319,358.5738761
267,8.039916992,61,61,565,52,1,572,622.2417236,239.1299197,647.5041319,358.5738761
268,8.069946289,61,61,563,52,1,574,622.2417236,239.1299197,647.5041319,358.5738761
269,8.099975586,96,96,559,51,2,572,622.2382906,239.2282436,636.1404812,357.9481059
270,8.130004883,96,96,570,52,0,575,622.2382906,239.2282436,636.1404812,357.9481059
271,8.159912109,96,96,567,51,0,574,622.2382906,239.2282436,636.1404812,357.9481059
272,8.179931641,96,96,561,51,0,571,622.2382906,239.2282436,636.1404812,357.9481059
273,8.209960938,96,96,560,51,1,572,622.2382906,239.2282436,636.1404812,357.9481059
274,8.239990234,96,96,567,51,1,571,622.2382906,239.2282436,636.1404812,357.9481059
275,8.270019531,96,96,563,52,1,572,622.2382906,239.2282436,636.1404812,357.9481059
276,8.299926758,96,96,560,52,1,572,622.2382906,239.2282436,636.1404812,357.9481059
277,8.329956055,96,96,559,52,1,570,622.1173954,239.0155951,637.8299085,358.0787473
278,8.359985352,96,96,568,52,2,568,622.1173954,239.0155951,637.8299085,358.0787473
279,8.390014648,96,96,560,52,1,569,622.1173954,239.0155951,637.8299085,358.0787473
280,8.419921875,96,96,558,52,1,565,622.1173954,239.0155951,637.8299085,358.0787473
281,8.449951172,96,96,566,52,0,564,622.1173954,239.0155951,637.8299085,358.0787473
282,8.479980469,96,96,558,52,0,567,622.1173954,239.0155951,637.8299085,358.0787473
283,8.510009766,96,96,556,52,1,566,622.1173954,239.0155951,640.3569805,358.0489994
284,8.530029297,96,96,552,52,0,565,622.1173954,239.0155951,640.3569805,358.0489994
285,8.559936523,96,96,561,52,1,566,622.1173954,239.0155951,640.3569805,358.0489994
286,8.58996582,96,96,555,52,1,564,622.1173954,239.0155951,640.3569805,358.0489994
287,8.619995117,96,96,551,52,2,563,622.1173954,239.0155951,640.3569805,358.0489994
288,8.650024414,96,96,555,52,0,562,622.1173954,239.0155951,640.3569805,358.0489994
289,8.679931641,96,96,561,52,1,561,622.1173954,239.0155951,640.3569805,358.0489994
290,8.709960938,96,96,553,51,1,560,622.1173954,239.0155951,640.3569805,358.0489994
291,8.739990234,96,96,551,51,1,561,622.1173954,239.0155951,640.3569805,358.0489994
292,8.770019531,96,96,559,52,0,560,622.1173954,239.0155951,640.3569805,358.0489994
293,8.799926758,96,96,551,52,0,561,622.1173954,239.0155951,640.3569805,358.0489994
294,8.829956055,96,96,551,52,0,561,622.1173954,239.0155951,640.3569805,358.0489994
295,8.859985352,96,96,549,52,2,561,622.1173954,239.0155951,640.3569805,358.0489994
296,8.880004883,96,96,560,52,0,562,622.1173954,239.0155951,640.3569805,358.0489994
297,8.909912109,96,96,552,52,1,559,622.1173954,239.0155951,640.3569805,358.0489994
298,8.939941406,96,96,550,52,1,560,622.1173954,239.0155951,640.3569805,358.0489994
299,8.969970703,96,96,551,53,2,559,622.1173954,239.0155951,640.3569805,358.0489994
300,9,96,96,555,53,3,559,622.1173954,239.0155951,640.3569805,358.0489994
301,9.030029297,96,96,551,52,1,559,622.1173954,239.0155951,640.3569805,358.0489994
302,9.059936523,96,96,546,52,2,560,622.1173954,239.0155951,640.3569805,358.0489994
303,9.08996582,96,96,556,52,1,558,622.1173954,239.0155951,640.3569805,358.0489994
304,9.119995117,117,117,552,52,0,562,622.1173954,239.0155951,640.3569805,358.0489994
305,9.150024414,117,117,548,52,2,559,622.1173954,239.0155951,640.3569805,358.0489994
306,9.179931641,117,117,548,52,1,558,622.1173954,239.0155951,640.3569805,358.0489994
307,9.209960938,117,117,556,52,0,559,622.1173954,239.0155951,640.3569805,358.0489994
308,9.239990234,117,117,551,53,0,558,622.1173954,239.0155951,640.3569805,358.0489994
309,9.270019531,117,117,546,52,2,557,622.1173954,239.0155951,640.3569805,358.0489994
310,9.299926758,117,117,555,52,0,555,622.3875055,239.0978896,642.6507303,358.4824295
311,9.329956055,117,117,547,52,1,553,622.3875055,239.0978896,642.6507303,358.4824295
312,9.369995117,117,117,542,52,1,551,622.3875055,239.0978896,642.6507303,358.4824295
313,9.400024414,117,117,542,53,1,551,622.3875055,239.0978896,642.6507303,358.4824295
314,9.429931641,117,117,546,51,0,551,622.3875055,239.0978896,642.6507303,358.4824295
315,9.459960938,117,117,543,52,1,549,622.3875055,239.0978896,642.6507303,358.4824295
316,9.489990234,117,117,540,52,2,549,622.3875055,239.0978896,642.6507303,358.4824295
317,9.520019531,117,117,548,52,0,550,622.3875055,239.0978896,642.6507303,358.4824295
318,9.549926758,117,117,542,52,1,548,622.3875055,239.0978896,642.6507303,358.4824295
319,9.579956055,117,117,537,52,2,549,622.3875055,239.0978896,642.6507303,358.4824295
320,9.619995117,117,117,538,52,0,546,622.3875055,239.0978896,642.6507303,358.4824295
321,9.650024414,117,117,539,52,2,547,622.3875055,239.0978896,642.6507303,358.4824295
322,9.679931641,117,117,534,52,1,546,622.3875055,239.0978896,642.6507303,358.4824295
323,9.709960938,117,117,534,52,1,545,622.3875055,239.0978896,642.6507303,358.4824295
324,9.739990234,117,117,544,53,1,548,622.3875055,239.0978896,642.6507303,358.4824295
325,9.770019531,117,117,537,53,1,544,622.3875055,239.0978896,642.6507303,358.4824295
326,9.799926758,117,117,535,51,1,547,622.3875055,239.0978896,642.6507303,358.4824295
327,9.829956055,117,117,545,52,1,551,622.3875055,239.0978896,642.6507303,358.4824295
328,9.869995117,117,117,538,52,1,548,622.3875055,239.0978896,642.6507303,358.4824295
329,9.900024414,117,117,535,52,0,546,622.3875055,239.0978896,642.6507303,358.4824295
330,9.929931641,117,117,535,52,2,543,622.3875055,239.0978896,642.6507303,358.4824295
331,9.959960938,117,117,543,51,0,548,622.3875055,239.0978896,642.6507303,358.4824295
